,,,,KDA,À»±þ,§U§ð
2019,®L©u,ONE,BaiYa,¡Û,3,10
2019,®L©u,ONE,YuXiao,¡Û,2,3
2019,®L©u,MAD,Winds,20,6,14
2019,®L©u,HKA,TheMan,7.37,142,175
2019,®L©u,ONE,HuaLin,6.69,105,236
2019,®L©u,NVM,KuKu,6.08,44,333
2019,®L©u,ONE,Tura,5.59,150,202
2019,®L©u,ONE,Fanta,5.43,35,329
2019,®L©u,HKA,EZ,5.31,113,248
2019,®L©u,NVM,One,5.03,121,171
2019,®L©u,NVM,Wei,4.44,93,222
2019,®L©u,HKA,XiaoLin,4.37,148,193
2019,®L©u,FW,Wayn,4.36,124,133
2019,®L©u,ONE,XianYo,4.3,146,185
2019,®L©u,TXO,Hanzo,4.28,113,212
2019,®L©u,HKA,Abao,4.28,30,355
2019,®L©u,TXO,Chichi,4.16,137,192
2019,®L©u,ONE,KID,3.81,52,215
2019,®L©u,HKA,Outcast,3.8,70,162
2019,®L©u,FW,XiXi,3.62,69,166
2019,®L©u,MAD,Star,3.46,85,164
2019,®L©u,TXO,Genji,3.45,37,308
2019,®L©u,NVM,Soar,3.29,154,198
2019,®L©u,MAD,3.22,3.04,32,239
2019,®L©u,TXO,Sirenia,2.94,78,178
2019,®L©u,MAD,Neil,2.73,108,138
2019,®L©u,FW,ERIC,2.6,85,128
2019,®L©u,TXO,Liang,2.58,101,196
2019,®L©u,MAD,3.27,2.56,102,123
2019,®L©u,FW,XinYi,2.36,6,20
2019,®L©u,FW,Gua,2.23,24,230
2019,®L©u,NVM,MG,2.16,57,150
2019,®L©u,FW,Heroes,1.98,73,145
2019,®L©u,SMG,Hong,1.89,51,123
2019,®L©u,SMG,Nnn,1.89,8,60
2019,®L©u,MAD,Yuzon,1.88,58,141
2019,®L©u,SMG,Kato,1.84,75,107
2019,®L©u,SMG,DanDan,1.71,69,92
2019,®L©u,SMG,Peanut,1.52,38,93
2019,®L©u,SMG,Ray,1.35,8,73
2019,®L©u,MAD,OM,0.57,4,9
