Country,2018 GDP,Democracy index,,,,,
Afghanistan,2025.472,2.97,,,,,
Albania,13326.694,5.98,,,,,
Algeria,15331.743,3.5,,,,,
Angola,6851.272,3.62,,,,,
Argentina,20551.043,7.02,,,,,
Armenia,10273.434,4.79,,,,,
Australia,52379.456,9.09,,,,,
Austria,52172.116,8.29,,,,,
Azerbaijan,18022.631,2.65,,,,,
Bahrain,50048.506,2.71,,,,,
Bangladesh,4630.291,5.57,,,,,
Belarus,19940.726,3.13,,,,,
Belgium,48327.204,7.78,,,,,
Benin,3267.363,5.74,,,,,
Bhutan,9343.63,5.3,,,,,
Bolivia,7842.232,5.7,,,,,
Botswana,17947.746,7.81,,,,,
Brazil,16146.092,6.97,,,,,
Bulgaria,23169.339,7.03,,,,,
Burkina Faso,1981.957,4.75,,,,,
Burundi,732.796,2.33,,,,,
Cambodia,4348.413,3.59,,,,,
Cameroon,3830.105,3.28,,,,,
Canada,49690.168,9.15,,,,,
Central African Republic,788.839,1.52,,,,,
China,18116.045,3.32,,,,,
Chad,2442.485,1.61,,,,,
Chile,25700.477,7.97,,,,,
Colombia,14935.683,6.96,,,,,
Comoros,2789.537,3.71,,,,,
Costa Rica,17565.529,8.07,,,,,
Croatia,26256.333,6.57,,,,,
Cyprus,39987.187,7.59,,,,,
Czech Republic,37339.72,7.69,,,,,
Denmark,52278.611,9.22,,,, , 
Djibouti,5304.905,2.87,,,, ,
Dominican Republic,18346.099,6.54,,,, ,
Ecuador,11759.598,6.27,,,, ,
Egypt,13357.694,3.36,,,,,
El Salvador,8041.094,5.96,,,,,
Equatorial Guinea,22717.509,1.92,,,,,
Eritrea,1028.421,2.37,,,,,
Estonia,34156.872,7.97,,,,,
Eswatini,10931.801,3.03,,,,,
Ethiopia,2332.96,3.35,,,,,
Fiji,11685.046,5.85,,,,,
Finland,46595.892,9.14,,,,,
France,45893.046,7.8,,,,,
Gabon,18433.607,3.61,,,,,
"Gambia, The",2608.274,4.31,,,,,
Georgia,11428.771,5.5,,,,,
Germany,52385.74,8.68,,,,,
Ghana,6491.815,6.63,,,,,
Greece,29071.971,7.29,,,,,
Guatemala,8442.964,5.6,,,,,
Guinea,2321.575,3.14,,,,,
Guinea-Bissau,1937.66,1.98,,,,,
Guyana,8580.792,6.67,,,,,
Haiti,1864.99,4.91,,,,,
Honduras,5216.305,5.63,,,,,
Hong Kong SAR,64199.384,6.15,,,,,
Hungary,31913.656,6.63,,,,,
Iceland,55941.381,9.58,,,,,
India,7858.692,7.23,,,,,
Indonesia,13234.099,6.39,,,,,
Iran,19376.518,2.45,,,,,
Iraq,17571.672,4.06,,,,,
Ireland,79617.062,9.15,,,,,
Israel,37994.181,7.79,,,,,
Italy,39675.525,7.71,,,,,
Jamaica,9473.394,7.02,,,,,
Japan,44246.37,7.99,,,,,
